Name,URL,Activity,Location,Brands,Ads Count,Main Street Address,Main Postal Code,Main Address Locality,Additional Addresses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGRAVIS TECHNIK HOLDING GMBH,https://www.agriaffaires.co.uk/pros/list/1/gp/49.html,Dealer/ Distributor,"Germany - Hannover
                                                    (NI)",,1518 ads,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BayWa AG Großweitzschen GMZ,https://www.agriaffaires.co.uk/pros/list/683001-0/1/baywa-ag-groszweitzschen-gmz.html,Dealer/ Distributor,"Germany - Großweitzschen
                                                    (SN)
                                                                        
                            (2 other addresses)","Valtra,                                                                             Claas,                                                                             Fendt,                                                                             Massey Ferguson,                                                                             Pöttinger,                                                                             Horsch,                                                                             Maschio",49 ads,Heiterer Blick 6,4720,Großweitzschen - Germany,Großweitzschen (SN), Großweitzschen (SN), Großweitzschen (SN),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JCB Vertrieb & Service GmbH,https://www.agriaffaires.co.uk/pros/list/1338261-0/1/jcb-vertrieb-service-gmbh.html,Vehicle/equipment Wholesale,"Germany - Frechen
                                                    (NW)","JCB,                                                                             John Deere,                                                                             Doosan,                                                                             Caterpillar,                                                                             Kubota,                                                                             Komatsu,                                                                             Liebherr,                                                                             Volvo,                                                                             Wacker Neuson,                                                                             Kramer",49 ads,Europaallee 113,50226,Frechen - Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harvest Park GmbH,https://www.agriaffaires.co.uk/pros/list/270908-0/1/harvest-park-gmbh.html,Vehicle/equipment Wholesale,"Germany - Emsbüren
                                                    (NI)
                                                                        
                            (2 other addresses)","Claas,                                                                             Deutz-Fahr,                                                                             New Holland,                                                                             John Deere,                                                                             Krone,                                                                             Kemper,                                                                             Case,                                                                             Geringhoff",47 ads,Darwinstrasse 1,48488,Emsbüren - Germany,Emsbüren (NI), Emsbüren (NI),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BayWa AG Kommunal-Vertriebszentrum Franken,https://www.agriaffaires.co.uk/pros/list/745726-0/1/baywa-ag-kommunal-vertriebszentrum-franken.html,Dealer/ Distributor,"Germany - Bamberg
                                                    (BY)
                                                                        
                            (One other address)","Claas,                                                                             Fendt,                                                                             Massey Ferguson,                                                                             Pöttinger,                                                                             Horsch,                                                                             Maschio",47 ads,Hafenstraße 5,96052,Bamberg - Germany,Bamberg (BY), Bamberg (BY),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLAAS Main-Donau  GmbH & Co. KG - Aurach,https://www.agriaffaires.co.uk/pros/list/682294-0/1/claas-main-donau-gmbh-co-kg-aurach.html,Dealer/ Distributor,"Germany - Aurach
                                                    (BY)",Claas,46 ads,Steinauer Weg 13,91589,Aurach - Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLAAS Südostbayern GmbH - Grabenstätt-Erlstätt,https://www.agriaffaires.co.uk/pros/list/682225-0/1/claas-sudostbayern-gmbh-grabenstatt-erlstatt.html,Dealer/ Distributor,"Germany - Grabenstätt-Erlstätt
                                                    (BY)",Claas,45 ads,Kirchbergstr. 1,83355,Grabenstätt-Erlstätt - Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harms Landtechnik GmbH,https://www.agriaffaires.co.uk/pros/list/1879716-0/1/harms-landtechnik-gmbh.html,Vehicle/equipment Wholesale,"Germany - Sassenholz
                                                    (NI)",,45 ads,"Hauptstraße 2
                                                                    2",27404,Sassenholz - Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ewers Landtechnik GmbH & Co.KG,https://www.agriaffaires.co.uk/pros/list/320716-0/1/ewers-landtechnik-gmbh-co-kg.html,Dealer/ Distributor,"Germany - Salzkotten - Thüle
                                                    (NW)
                                                                        
                            (One other address)",Massey Ferguson,45 ads,Laurentiusstraße 9,33154,Salzkotten-Thüle - Germany,Salzkotten-Thüle (NW), Salzkotten - Thüle (NW),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k&h Landmaschinenhandel,https://www.agriaffaires.co.uk/pros/list/110711-0/1/kh-landmaschinenhandel.html,Vehicle/equipment Wholesale,"Germany - Jacobsdorf
                                                    (BR)
                                                                        
                            (One other address)","Claas,                                                                             Amazone,                                                                             Weidemann,                                                                             Tebbe,                                                                             Köckerling,                                                                             Zunhammer,                                                                             Hawe,                                                                             Trioliet,                                                                             Dammann,                                                                             Krampe",44 ads,Expopark 1,15236,Jacobsdorf - Germany,Jacobsdorf (BR), Jacobsdorf (BR),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raiffeisen Technik Nord-Ost GmbH,https://www.agriaffaires.co.uk/pros/list/389975-0/1/raiffeisen-technik-nord-ost-gmbh.html,Dealer/ Distributor,"Germany - Teschenhagen/Sehlen
                                                    (MV)
                                                                        
                            (4 other addresses)",,44 ads,Dorfstraße 52,17129,Kruckow - Germany,Kruckow (MV), Richtenberg (MV), Teschenhagen/Sehlen (MV), Thürkow (MV), Woldegk (MV),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BayWa AG GMZ Mindelheim,https://www.agriaffaires.co.uk/pros/list/682985-0/1/baywa-ag-gmz-mindelheim.html,Dealer/ Distributor,"Germany - Mindelheim
                                                    (BY)
                                                                        
                            (2 other addresses)","Valtra,                                                                             Claas,                                                                             Fendt,                                                                             Massey Ferguson,                                                                             Pöttinger,                                                                             Horsch,                                                                             Maschio",43 ads,Allgäuerstr. 38,87711,Mindelheim - Germany,Mindelheim (BY), Mindelheim (BY), Mindelheim (BY),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carl Beutlhauser Kommunal- und Förder- technik GmbH & Co. KG,https://www.agriaffaires.co.uk/pros/list/1009306-0/1/carl-beutlhauser-kommunal-und-forder-technik-gmbh-co-kg.html,Vehicle/equipment Wholesale,"Germany - Hagelstadt
                                                    (BY)
                                                                        
                            (One other address)","Reform,                                                                             Mercedes-Benz,                                                                             Lindner,                                                                             Bucher Municipal,                                                                             Dücker,                                                                             Hansa,                                                                             Goupil,                                                                             Mulag,                                                                             Duecker,                                                                             Zaugg",42 ads,Regensburger Straße 23,93095,Hagelstadt - Germany,Hagelstadt (BY), Hagelstadt (BY),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLAAS Main Donau Landtechnik-Vertrieb - Aurach,https://www.agriaffaires.co.uk/pros/list/682365-0/1/claas-main-donau-landtechnik-vertrieb-aurach.html,Dealer/ Distributor,"Germany - Aurach
                                                    (BY)",Claas,42 ads,Steinauer Weg 13,91589,Aurach - Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Landtechnik Schulze Lammers,https://www.agriaffaires.co.uk/pros/list/504863-0/1/landtechnik-schulze-lammers.html,Vehicle/equipment Wholesale,"Germany - Borken
                                                    (NW)
                                                                        
                            (One other address)",,40 ads,Einsteinstraße 1a,46325,Borken - Germany,Borken (NW), Borken (NW),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baase Landmaschinen GmbH,https://www.agriaffaires.co.uk/pros/list/230073-0/1/baase-landmaschinen-gmbh.html,Dealer/ Distributor,"Germany - Splietsdorf
                                                    (MV)","John Deere,                                                                             Krone,                                                                             Maschio Gaspardo,                                                                             Amazone,                                                                             Weidemann,                                                                             Stihl,                                                                             Rabe,                                                                             Dal-Bo,                                                                             Siloking,                                                                             DeLaval,                                                                             Annaburger",40 ads,Holthof 39,18513,Splietsdorf - Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BayWa AG GMZ Giebelstadt,https://www.agriaffaires.co.uk/pros/list/683053-0/1/baywa-ag-gmz-giebelstadt.html,Dealer/ Distributor,"Germany - Giebelstadt
                                                    (BY)
                                                                        
                            (2 other addresses)","Valtra,                                                                             Claas,                                                                             Fendt,                                                                             Massey Ferguson,                                                                             Pöttinger,                                                                             Horsch,                                                                             Maschio",40 ads,An der Goldleite 1,97232,Giebelstadt - Germany,Giebelstadt (BY), Giebelstadt (BY), Giebelstadt (BY),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hölscher Landtechnik GmbH & Co. KG,https://www.agriaffaires.co.uk/pros/list/216347-0/1/holscher-landtechnik-gmbh-co-kg.html,Vehicle/equipment Wholesale,"Germany - Warendorf
                                                    (NW)
                                                                        
                            (3 other addresses)","Massey Ferguson,                                                                             Krone,                                                                             Kverneland,                                                                             Vicon,                                                                             Müthing,                                                                             Fortuna,                                                                             Akpil",40 ads,Raiffeisenstr.35,48231,Warendorf - Germany,Warendorf (NW), Warendorf (NW), Warendorf (NW), Warendorf (NW),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calenberger Landtechnik GmbH,https://www.agriaffaires.co.uk/pros/list/2011741-0/1/calenberger-landtechnik-gmbh.html,Dealer/ Distributor,"Germany - Nordstemmen
                                                    (NI)",,40 ads,Calenberger Straße 37,31171,Nordstemmen - Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BayWa AG GMZ Wülfershausen,https://www.agriaffaires.co.uk/pros/list/683034-0/1/baywa-ag-gmz-wulfershausen.html,Dealer/ Distributor,"Germany - Wülfershausen
                                                    (BY)
                                                                        
                            (2 other addresses)","Valtra,                                                                             Claas,                                                                             Fendt,                                                                             Massey Ferguson,                                                                             Pöttinger,                                                                             Horsch,                                                                             Maschio",39 ads,Am Angertor 8,97618,Wülfershausen - Germany,Wülfershausen (BY), Wülfershausen (BY), Wülfershausen (BY),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Holland Middle East Trading BV,https://www.agriaffaires.co.uk/pros/list/488563-0/1/holland-middle-east-trading-bv.html,Vehicle/equipment Wholesale,"Germany - Schüttorf
                                                    (NI)",,37 ads,Park Broekheurne 16,7544 NK,Enschede - Netherlands,Enschede (NL), Schüttorf (NI),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agroXX techniCCenter,https://www.agriaffaires.co.uk/pros/list/681724-0/1/agroxx-techniccenter.html,Dealer/ Distributor,"Germany - Ennigerloh
                                                    (NW)",,36 ads,Büttrup 13,59320,Ennigerloh - Germany,Ennigerloh (NW), Emmeloord (NL),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thomas Breu e.K.,https://www.agriaffaires.co.uk/pros/list/373338-0/1/thomas-breu-e-k.html,Dealer/ Distributor,"Germany - Cham
                                                    (BY)","Claas,                                                                             Deutz-Fahr,                                                                             Case IH,                                                                             Fendt,                                                                             Krone,                                                                             Kuhn,                                                                             Reform,                                                                             Pöttinger,                                                                             Lemken,                                                                             Rabe,                                                                             Müthing,                                                                             MTD,                                                                             Stoll,                                                                             Demmler,                                                                             Mengele,                                                                             Mörtl,                                                                             Wolf",35 ads,Raiffeisen Str. 2,93413,Cham - Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLAAS Nordostbayern GmbH & Co. KG - Schwend,https://www.agriaffaires.co.uk/pros/list/682522-0/1/claas-nordostbayern-gmbh-co-kg-schwend.html,Dealer/ Distributor,"Germany - Schwend
                                                    (BY)",Claas,35 ads,Hauptstr. 2,92262,Schwend - Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MC-AGRI GmbH,https://www.agriaffaires.co.uk/pros/list/640055-0/1/mc-agri-gmbh.html,Dealer/ Distributor,"Germany - Drachhausen
                                                                        
                            (One other address)",,35 ads,Sand 107 B,3185,Drachhausen - Germany,Drachhausen (DE), Drachhausen (DE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fa. Albert Goos Landmaschinen,https://www.agriaffaires.co.uk/pros/list/1847676-0/1/fa-albert-goos-landmaschinen.html,Dealer/ Distributor,"Germany - Langenzenn OT Keidenzell
                                                    (BY)
                                                                        
                            (One other address)",,34 ads,Hubertusstr. 4,90579,Langenzenn - Germany,Langenzenn (BY), Langenzenn OT Keidenzell (BY),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MVMV Maschinenvertrieb Mecklenburg-Vorpommern,https://www.agriaffaires.co.uk/pros/list/1034756-0/1/mvmv-maschinenvertrieb-mecklenburg-vorpommern.html,Vehicle/equipment Wholesale,"Germany - Neubrandenburg
                                                    (MV)
                                                                        
                            (8 other addresses)",,32 ads,Am Kamp 9,17034,Neubrandenburg - Germany,Neubrandenburg (MV), Burow (MV), Pinnow (MV), Petschow (MV), Burow (MV), Neubrandenburg (MV), Bernitt OT Göllin (MV), Jördenstorf (MV), Premslin (MV),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRB Westprignitzer Landtechnik GmbH,https://www.agriaffaires.co.uk/pros/list/2026406-0/1/srb-westprignitzer-landtechnik-gmbh.html,Dealer/ Distributor,"Germany - Karstädt-Prignitz
                                                    (BR)
                                                                        
                            (One other address)",,32 ads,Schulstrasse 7 b,19357,Karstädt - Germany,Karstädt (BR), Karstädt-Prignitz (BR),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHÜTTE Bernhard GmbH Landmaschinen,https://www.agriaffaires.co.uk/pros/list/41073-0/1/schutte-bernhard-gmbh-landmaschinen.html,Dealer/ Distributor,"Germany - Marsberg-Giershagen
                                                    (NW)
                                                                        
                            (One other address)",John Deere,31 ads,Am Knapp 30,34431,MARSBERG-GIERSHAGEN - Germany,MARSBERG-GIERSHAGEN (NW), Marsberg-Giershagen (NW),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHWARZ GmbH Landtechnik-Oekotech Vertrieb,https://www.agriaffaires.co.uk/pros/list/353988-0/1/schwarz-gmbh-landtechnik-oekotech-vertrieb.html,Dealer/ Distributor,"Germany - Aspach
                                                    (BW)
                                                                        
                            (One other address)",John Deere,30 ads,Siemenstr.15,71546,ASPACH - Germany,ASPACH (BW), Aspach (BW),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ForstmaschinenZentrum oHG,https://www.agriaffaires.co.uk/pros/list/150390-0/1/forstmaschinenzentrum-ohg.html,Dealer/ Distributor,"Germany - Leinburg
                                                    (BY)",,30 ads,Zum Hutanger 3,91227,Leinburg - Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Landmaschinenhandel Helmut Feder,https://www.agriaffaires.co.uk/pros/list/593668-0/1/landmaschinenhandel-helmut-feder.html,Vehicle/equipment Wholesale,"Germany - Burg
                                                                        
                            (10 other addresses)","Claas,                                                                             New Holland,                                                                             Case IH,                                                                             John Deere,                                                                             Amazone,                                                                             Vaderstad,                                                                             Lemken,                                                                             Monosem,                                                                             Horsch,                                                                             Hawe",30 ads,Laasower Str.16D,15913,Straupitz - Germany,Straupitz (BR), Ebersbach (BR), Venusberg (BR), Kunde (BR), Schopsdorf (BR), Grimma (BR), Oberlichtenau (BR), Spremberg (BR), Burg (Spreewald) (BR), Burg (DE), Jacobsdorf (BR),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLAAS Nordostbayern GmbH & Co. KG - Cham,https://www.agriaffaires.co.uk/pros/list/682548-0/1/claas-nordostbayern-gmbh-co-kg-cham.html,Dealer/ Distributor,"Germany - Cham
                                                    (BY)
                                                                        
                            (One other address)",Claas,30 ads,Altenstadter Str. 6,93413,Cham - Germany,Cham (BY), Cham (BY),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wüstenberg KG Landmaschinen,https://www.agriaffaires.co.uk/pros/list/76047-0/1/wustenberg-kg-landmaschinen.html,Dealer/ Distributor,"Germany - Niebüll
                                                    (SH)
                                                                        
                            (6 other addresses)",,28 ads,Klanxbüller Straße 9,25899,Niebüll - Germany,Niebüll (SH), Niebüll (SH), Reußenköge (SH), Börm (SH), Bützow (SH), Niebüll (SH), Steinberg (SH),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLAAS Südostbayern GmbH - Mengkofen,https://www.agriaffaires.co.uk/pros/list/682274-0/1/claas-sudostbayern-gmbh-mengkofen.html,Dealer/ Distributor,"Germany - Mengkofen
                                                    (BY)",Claas,27 ads,Ettenkofen 18,84152,Mengkofen - Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KREMMER,https://www.agriaffaires.co.uk/pros/list/537805-0/1/kremmer.html,Vehicle/equipment Wholesale,"Germany - Markersdorf
                                                    (SN)","JCB,                                                                             Horsch,                                                                             Köckerling",26 ads,Schlesischer Weg 12,2829,Markersdorf - Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Langbehn Landmaschinen GmbH & Co. KG,https://www.agriaffaires.co.uk/pros/list/183407-0/1/langbehn-landmaschinen-gmbh-co-kg.html,Vehicle/equipment Wholesale,"Germany - Satow
                                                    (MV)
                                                                        
                            (One other address)","Case IH,                                                                             Steyr,                                                                             Case",26 ads,Sarauer Straße 2a,23628,Klempau - Germany,Klempau (SH), Satow (MV),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Claas Nordostbayern GmbH & Co KG - Altenstadt,https://www.agriaffaires.co.uk/pros/list/682375-0/1/claas-nordostbayern-gmbh-co-kg-altenstadt.html,Dealer/ Distributor,"Germany - Hof
                                                    (BY)
                                                                        
                            (One other address)",Claas,25 ads,Auf der Haide 8,92665,Altenstadt a.d. Waldnaab - Germany,Altenstadt a.d. Waldnaab (BY), Hof (BY),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Claas Nordostbayern GmbH & Co. KG - Hollfeld,https://www.agriaffaires.co.uk/pros/list/682529-0/1/claas-nordostbayern-gmbh-co-kg-hollfeld.html,Dealer/ Distributor,"Germany - Hollfeld
                                                    (BY)
                                                                        
                            (One other address)",Claas,25 ads,Hofäckerstr. 2,96142,Hollfeld - Germany,Hollfeld (BY), Hollfeld (BY),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B+K Traktoren Vertriebs GmbH,https://www.agriaffaires.co.uk/pros/list/48462-0/1/b-k-traktoren-vertriebs-gmbh.html,Vehicle/equipment Wholesale,"Germany - Kettenkamp
                                                    (NI)",,25 ads,Industriestraße 3,49577,Kettenkamp - Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kloster Adam Land-und Baumaschinen Handels GmbH,https://www.agriaffaires.co.uk/pros/list/33656-0/1/kloster-adam-land-und-baumaschinen-handels-gmbh.html,Dealer/ Distributor,"Germany - Mörstadt
                                                    (RP)
                                                                        
                            (One other address)",,25 ads,Pfeddersheimer Strasse 6,67591,Mörstadt - Germany,Mörstadt (RP), Mörstadt (RP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Herpich Landtechnik GmbH,https://www.agriaffaires.co.uk/pros/list/502341-0/1/herpich-landtechnik-gmbh.html,Dealer/ Distributor,"Germany - Drebach
                                                    (SN)
                                                                        
                            (3 other addresses)",John Deere,24 ads,Gelenauer Str. 13,9430,Drebach - Germany,Drebach (SN), Drebach (SN), Drebach (SN), Drebach (SN),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Junge Landtechnik GmbH & Co. KG,https://www.agriaffaires.co.uk/pros/list/279071-0/1/junge-landtechnik-gmbh-co-kg.html,Vehicle/equipment Wholesale,"Germany - Geestland
                                                    (NI)
                                                                        
                            (3 other addresses)","Deutz-Fahr,                                                                             Same,                                                                             Krone,                                                                             Case,                                                                             Amazone,                                                                             Stehr,                                                                             Kramer,                                                                             Kerner,                                                                             Oelher,                                                                             BVL,                                                                             Keenan,                                                                             Düvelsdorf,                                                                             Stockmann",24 ads,"Lindenallee 5
                                                                    Ankelohe",27624,Geestland - Germany,Geestland (NI), Geestland - Ankelohe (NI), Geestland (NI), Geestland (NI),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drümmer GmbH & Co KG,https://www.agriaffaires.co.uk/pros/list/1955579-0/1/drummer-gmbh-co-kg.html,Dealer/ Distributor,"Germany - Schmalfeld
                                                    (SH)
                                                                        
                            (One other address)",,24 ads,Westerkamp 5,24640,Schmalfeld - Germany,Schmalfeld (SH), Schmalfeld (SH),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVL Import Export,https://www.agriaffaires.co.uk/pros/list/4401-0/1/avl-import-export.html,Vehicle/equipment Wholesale,Germany - Pöttmes,,24 ads,Route de Beaufort,49350,Les Rosiers-sur-Loire - France,Les Rosiers-sur-Loire (49), LES ROSIERS SUR LOIRE (49), Les Rosiers-sur-Loire (FR), Les Rosiers-sur-Loire (FR), GENNES VAL DE LOIRE (FR), Pöttmes (DE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLAAS Südostbayern GmbH - Hutthurm,https://www.agriaffaires.co.uk/pros/list/682259-0/1/claas-sudostbayern-gmbh-hutthurm.html,Dealer/ Distributor,"Germany - Hutthurm
                                                    (BY)",Claas,23 ads,Kringeller Str. 84,94116,Hutthurm - Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLAAS Vertriebsgesellschaft mbH FIRST CLAAS USED Center,https://www.agriaffaires.co.uk/pros/list/1956402-0/1/claas-vertriebsgesellschaft-mbh-first-claas-used-center.html,Dealer/ Distributor,"Germany - Schwülper
                                                    (NI)
                                                                        
                            (One other address)",,23 ads,Waller See 24,38179,Schwülper - Germany,Schwülper (NI), Schwülper (NI),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scharfenberger GmbH & Co. KG,https://www.agriaffaires.co.uk/pros/list/197588-0/1/scharfenberger-gmbh-co-kg.html,Manufacturer,"Germany - Bad Dürkheim
                                                    (RP)","New Holland,                                                                             Europress,                                                                             Braud",23 ads,Philipp-Krämer-Ring 30,67098,Bad Dürkheim - Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEMKEN GmbH & Co. KG,https://www.agriaffaires.co.uk/pros/list/546093-0/1/lemken-gmbh-co-kg.html,Manufacturer,"Germany - Alpen
                                                    (NW)",,22 ads,Weseler Straße 5,46519,Alpen - Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quinte Landtechnik GmbH & Co. KG,https://www.agriaffaires.co.uk/pros/list/250961-0/1/quinte-landtechnik-gmbh-co-kg.html,Dealer/ Distributor,"Germany - Lichtenau-Kleinenberg
                                                    (NW)","Claas,                                                                             John Deere",21 ads,Niederwiesenweg 50,33165,Lichtenau-Kleinenberg - Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLAAS Südostbayern GmbH - Obersöchering,https://www.agriaffaires.co.uk/pros/list/682267-0/1/claas-sudostbayern-gmbh-obersochering.html,Dealer/ Distributor,"Germany - Obersöchering
                                                    (BY)",Claas,20 ads,Aidlinger Str. 1,82395,Obersöchering - Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLAAS Main-Donau  GmbH & Co. KG - Heilsbronn,https://www.agriaffaires.co.uk/pros/list/682316-0/1/claas-main-donau-gmbh-co-kg-heilsbronn.html,Dealer/ Distributor,"Germany - Heilsbronn
                                                    (BY)",Claas,20 ads,Caspar-Othmayr-Straße 10,91560,Heilsbronn - Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Borries-Lader e.K.,https://www.agriaffaires.co.uk/pros/list/697226-0/1/borries-lader-e-k.html,Dealer/ Distributor,"Germany - Erftstadt
                                                    (NW)",,20 ads,Siemensstr. 16 b,50374,Erftstadt - Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLAAS Nordostbayern GmbH & Co. KG - Gefrees,https://www.agriaffaires.co.uk/pros/list/682517-0/1/claas-nordostbayern-gmbh-co-kg-gefrees.html,Dealer/ Distributor,"Germany - Gefrees
                                                    (BY)",Claas,20 ads,Helmut-Sandler-Str. 2,95482,Gefrees - Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wernsmann- Industrieservice GmbH,https://www.agriaffaires.co.uk/pros/list/1534569-0/1/wernsmann-industrieservice-gmbh.html,Vehicle/equipment Wholesale,"Germany - Metelen
                                                    (NW)
                                                                        
                            (One other address)","Claas,                                                                             New Holland,                                                                             Fendt,                                                                             John Deere,                                                                             Liebherr,                                                                             AGS",20 ads,"Naendorf
                                                                    77",48629,Metelen - Germany,Metelen (NW), Metelen (NW),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Auer Landtechnik GmbH,https://www.agriaffaires.co.uk/pros/list/129235-0/1/auer-landtechnik-gmbh.html,Vehicle/equipment Wholesale,"Germany - Lörzweiler
                                                    (RP)",,19 ads,Mainzerstr. 12,55296,Lörzweiler - Germany,Lörzweiler (RP), Strasbourg (67), Strasbourg (67), Strasbourg (67), Strasbourg (67), Strasbourg (67), Strasbourg (67), Strasbourg (67), Strasbourg (67), Strasbourg (67),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGRIMEX,https://www.agriaffaires.co.uk/pros/list/39144-0/1/agrimex.html,Vehicle/equipment Wholesale,"Germany - Weißenschirmbach
                                                    (ST)
                                                                        
                            (4 other addresses)",,19 ads,Dorfstraße 31,6268,Weißenschirmbach - Germany,Weißenschirmbach (ST), Weißenschir (BW), Weißenschirmbach (ST), Weißenschirmbach (ST), Weißenschirmbach (ST),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Knoblauch Landtechnik GmbH,https://www.agriaffaires.co.uk/pros/list/326234-0/1/knoblauch-landtechnik-gmbh.html,Dealer/ Distributor,"Germany - Kandern-Tannenkirch
                                                    (BW)
                                                                        
                            (2 other addresses)",John Deere,19 ads,Tannenkirch,79400,KANDERN - Germany,KANDERN (BW), Kandern-Tannenkirch (BW), Ringsheim (BW),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LANDTECHNIK ZIMMERMANN,https://www.agriaffaires.co.uk/pros/list/199513-0/1/landtechnik-zimmermann.html,Dealer/ Distributor,"Germany - Titz-Ameln
                                                    (NW)
                                                                        
                            (One other address)",,19 ads,Duerenerstraße 1a,52445,Titz-Ameln - Germany,Titz-Ameln (NW), Titz-Ameln (NW),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVR bvba,https://www.agriaffaires.co.uk/pros/list/394592-0/1/avr-bvba.html,Manufacturer,Germany - salching,,18 ads,Meensesteenweg 545,8800,Roeselare - Belgium,Roeselare (BE), salching (DE), Roeselare (BE), Moorslede (BE), customer (BE), Boezinge (BE), Meharicourt (FR), Tielt (BE), Eghezée (BE), Isnes (BE), dagsmark (FI),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRUNS Maschinenhandel,https://www.agriaffaires.co.uk/pros/list/138995-0/1/bruns-maschinenhandel.html,Vehicle/equipment Wholesale,"Germany - Neuss
                                                    (NW)
                                                                        
                            (One other address)",,18 ads,Rheinuferstraße 90,41468,Neuss - Germany,Neuss (NW), Neuss (NW),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
